来源类别,序号,岗位名称,岗位职责,日常工作内容,工作强度,是否经常加班,工作环境,晋升方向,常见单位,考试专业科目,考试内容,推荐指数,一句话总结,原始标题
管理技术岗,001,参谋（九级文员以下/及以下，综合计划方向）,负责机关年度工作计划、阶段性任务安排、综合协调、公文起草、会议组织、督办落实等工作，是机关综合协调的重要岗位。,起草通知、报告、总结等材料；编制年度工作计划；组织召开会议；协调各业务部门；跟踪重点任务落实；整理领导批示及文件归档。,★★★★☆ 机关事务繁杂，工作节奏快，尤其在年度计划制定、重大检查和演训期间工作量明显增加。,★★★★☆ 重大任务、公文集中报送、演训保障期间加班较多，平时相对规律。,,综合计划参谋 → 科室负责人 → 综合部门领导岗位。,军委机关、战区机关、各军兵种机关、联勤保障部队、军事院校、科研院所。,管理学(196)、数学2+物理(8)、数学1(8)、会计学(3)、免笔试(3)。,,★★★★★,机关”大管家”，综合能力要求高，发展路径较好。,001 参谋（九级文员以下/及以下，综合计划方向）
管理技术岗,002,参谋（九级文员以下/及以下，国防动员方向）,负责国防动员建设、征兵动员、后备力量建设、军地协调及应急动员方案制定。,制定动员计划、组织演练、统计动员数据、协调地方部门、完善应急预案、检查动员准备情况。,★★★★☆,★★★☆☆ 征兵季、重大演练和专项检查期间工作较忙。,,国防动员参谋 → 动员部门负责人 → 国防动员管理岗位。,省军区、军分区、人民武装部、战区机关、联勤保障部队。,管理学(1583)、数学2+物理(41)、政治学(33)、汉语言文学(31)、数学1(7)。,,★★★★☆,军地联系密切，政策性较强，工作稳定。,002 参谋（九级文员以下/及以下，国防动员方向）
管理技术岗,003,参谋（九级文员以下/及以下，作战/战备方向）,负责作战筹划、战备值班、演训计划制定、作战保障及战备资料管理。,编制作战方案、整理战备资料、组织演训、值班值勤、分析作战信息、协调各类战备任务。,★★★★★,★★★★★ 演训、战备值班、重大任务期间加班和值班较多。,,作战参谋 → 作战部门负责人 → 战备管理岗位。,战区机关、军兵种机关、各级部队机关。,管理学(5)、数学2+物理(2)。,,★★★★☆,节奏快、责任重，是机关核心业务岗位之一。,003 参谋（九级文员以下/及以下，作战/战备方向）
管理技术岗,004,参谋（九级文员以下/及以下，训练管理方向）,负责军事训练计划制定、训练组织实施、训练考核及训练资源协调。,制定训练计划、统计训练数据、组织考核、协调训练场地、总结训练成果、检查训练落实情况。,★★★★☆,★★★★☆ 训练考核和重大演训期间工作量较大。,,训练参谋 → 训练部门负责人 → 机关训练管理岗位。,各军兵种机关、军事院校、训练基地。,管理学(545)、教育学(51)、汉语言文学(21)、数学2+物理(20)、数学1(16)。,,★★★★☆,训练工作的组织者，统筹协调能力要求较高。,004 参谋（九级文员以下/及以下，训练管理方向）
管理技术岗,005,参谋（九级文员以下/及以下，后勤保障方向）,负责后勤保障计划、物资供应、生活保障、运输保障和综合协调。,制定保障方案、协调物资供应、统计保障需求、组织保障演练、检查保障落实情况。,★★★★☆,★★★★☆ 重大保障任务期间加班较多。,,后勤保障参谋 → 后勤部门负责人 → 后勤管理岗位。,联勤保障部队、医院、军事院校、军兵种机关。,管理学(38)、免笔试(1)。,,★★★★★,招聘数量较多，就业面广，是后勤管理的重要岗位。,005 参谋（九级文员以下/及以下，后勤保障方向）
管理技术岗,006,参谋（九级文员以下/及以下，装备管理方向）,负责装备计划、装备采购、装备管理、维修协调及装备保障。,统计装备信息、制定采购计划、组织装备验收、协调维修保障、建立装备台账。,★★★★☆,★★★☆☆ 装备换装和保障任务期间工作较忙。,,装备管理参谋 → 装备部门负责人 → 装备管理岗位。,装备发展部门、各军兵种机关、装备保障单位。,管理学(160)、数学2+物理(20)、会计学(7)、数学1(6)、法学(2)。,,★★★★☆,偏管理协调，适合工程技术背景考生。,006 参谋（九级文员以下/及以下，装备管理方向）
管理技术岗,007,参谋（九级文员以下/及以下，组织人事方向）,负责干部管理、人事调配、人员考核、组织建设及档案管理。,办理人员调配、整理干部档案、组织考核、统计人员数据、制定干部管理计划。,★★★★☆,★★★★☆ 干部调整、年度考核期间工作较忙。,,组织人事参谋 → 人事部门负责人 → 组织管理岗位。,军委机关、各级机关、军事院校。,管理学(16)。,,★★★★★,机关核心岗位之一，对政策理解和保密意识要求较高。,007 参谋（九级文员以下/及以下，组织人事方向）
管理技术岗,008,参谋（九级文员以下/及以下，信息化方向）,负责信息化建设规划、信息系统管理、网络保障及数字化建设。,维护信息系统、推进信息化项目、协调网络保障、统计信息数据、开展技术支持。,★★★★☆,★★★★☆ 系统升级、网络保障期间加班较多。,,信息化参谋 → 信息化负责人 → 信息技术管理岗位。,信息支援部队、军兵种机关、科研院所。,管理学(3)。,,★★★★★,近年来热门岗位，信息化建设需求持续增长。,008 参谋（九级文员以下/及以下，信息化方向）
管理技术岗,009,参谋（九级文员以下/及以下，战勤计划方向）,负责战勤保障计划、运输协调、物资保障及综合保障任务组织。,制定保障方案、协调运输力量、组织物资调配、统计保障数据、参与演训保障。,★★★★★,★★★★★ 重大演训和应急保障期间工作强度较高。,,战勤参谋 → 战勤保障负责人 → 后勤保障管理岗位。,联勤保障部队、战区机关、各军兵种保障单位。,管理学(50)、会计学(1)、经济学(1)、汉语言文学(1)、数学2+物理(1)。,,★★★★☆,保障任务重，应急响应要求高，适合组织协调能力强的考生。,009 参谋（九级文员以下/及以下，战勤计划方向）
管理技术岗,010,干事（九级文员以下/及以下，组织工作方向）,负责党组织建设、党员教育管理、组织生活、干部考核、党建制度落实等工作，是机关党建工作的核心岗位。,组织召开党组织会议、发展党员、整理党建档案、干部年度考核、党费管理、党建活动策划、党建材料撰写。,★★★★☆,★★★★☆ 党建检查、巡视巡察、年度考核期间加班较多。 工作环境： 机关办公室办公，以电脑、公文处理为主。,,组织干事 → 组织科负责人 → 组织部门领导岗位。,军委机关、战区机关、军兵种机关、军事院校、干休所、医院。,管理学(675)、汉语言文学(235)、政治学(129)、法学(17)、哲学(11)。,,★★★★★,机关党建核心岗位，政策性强，发展空间较好。,010 干事（九级文员以下/及以下，组织工作方向）
